"id","province","city","address","longitude","latitude","price","buildingTypeId","tradeTypeId","listingDate","daysOnMarket","bedrooms"
"411851","Manitoba","Winnipeg","144 Worthington Ave","-97.099787","49.841404","249900.00","3","1","12/6/2018","8","3"
"411875","Ontario","Ottawa","2029 Saunderson Drive","-75.627167","45.396055","1850.00","3","2","13/6/2018","28","3 + 1"
"412002","Ontario","Ottawa","52 Fulton Avenue","-75.693881","45.392297","819000.00","3","1","7/6/2018","9","3 + 0"
"412412","British Columbia","Vancouver","2095 E 25th Avenue","-123.0629255","49.2487313","1385000.00","3","1","1/6/2018","4","5"
"413040","Ontario","Scarborough","15 Charlemont Cres","-79.3130081","43.7720888","2400.00","3","2","23/6/2018","4","3 + 2"
"413228","Nova Scotia","Dartmouth","18 Londra Court","-63.5022326846557","44.6861057","184900.00","3","1","15/6/2018","13","3 + 0"
"413295","Ontario","Bowmanville","339 Longworth Ave","-78.6822762","43.931821","539900.00","3","1","7/6/2018","22","3"
"413588","Ontario","Kanata","69 Saddlehorn Crescent","-75.859353","45.287924","539900.00","3","1","9/6/2018","7","4 + 0"
"413788","Ontario","Milton","1611 Beaty Tr","-79.8321473","43.5267636","2900.00","3","2","28/6/2018","12","3 + 2"
"414117","Ontario","Toronto","161 Drayton Ave","-79.3196983","43.6834014","929900.00","3","1","15/6/2018","11","3"
"414151","British Columbia","Victoria","10-1393 Craigflower Rd","-123.419892","48.448968","99500.00","17","1","15/6/2018","29","1"
"414573","Ontario","Kitchener","60 Valleyscape Drive","-80.427509","43.373722","999900.00","3","1","2/6/2018","26","4 + 1"
"414655","Ontario","Toronto","512-318 King St E","-79.3637223","43.6525725","429900.00","1","1","20/6/2018","21","1"
"414655","Ontario","Toronto","512-318 King St E","-79.3637223","43.6525725","429900.00","1","1","20/6/2018","21","3 + 1"
"414770","Ontario","Arthur","8827 Wellington 14 Road","-80.543454","43.886114","549900.00","3","1","13/6/2018","2","3 + 1"
"414876","Ontario","North York","209-2737 Keele St","-79.480759","43.7257789","249000.00","1","1","23/6/2018","13","2"
"415384","Ontario","Mississauga","1401-75 King St E","-79.613175","43.5804314","406000.00","1","1","19/6/2018","9","2"
"415579","Ontario","Mississauga","2174 Belfast Cres","-79.6682611","43.5337503","1049900.00","3","1","28/6/2018","9","4"
